1,216
1,217
6,216
6,221
6,222
6,227
8,217
8,218
8,223
8,224
13,222
13,223
13,228
13,229
18,228
18,233
20,229
20,230
36,216
36,221
36,252
36,257
38,217
38,218
38,253
38,254
43,216
43,217
43,222
43,223
43,252
43,253
43,258
43,259
48,222
48,227
48,228
48,233
48,258
48,263
48,264
48,269
50,223
50,224
50,229
50,230
50,259
50,260
50,265
50,266
55,228
55,229
55,264
55,265
73,252
73,253
73,288
73,289
78,252
78,257
78,258
78,263
78,288
78,293
78,294
78,299
80,253
80,254
80,259
80,260
80,289
80,290
80,295
80,296
85,258
85,259
85,264
85,265
85,294
85,295
85,300
85,301
90,264
90,269
90,300
90,305
92,265
92,266
92,301
92,302
108,288
108,293
110,289
110,290
115,288
115,289
115,294
115,295
120,294
120,299
120,300
120,305
122,295
122,296
122,301
122,302
127,300
127,301
