0,6
0,36
1,7
1,37
2,8
2,38
6,7
6,12
6,42
7,8
7,13
7,43
8,14
8,44
12,13
12,18
12,48
13,14
13,19
13,49
14,20
14,50
18,54
19,55
20,56
36,37
36,42
36,72
37,38
37,43
37,73
38,44
38,74
42,43
42,48
42,78
43,44
43,49
43,79
44,50
44,80
48,49
48,54
48,84
49,50
49,55
49,85
50,56
50,86
54,55
54,90
55,56
55,91
56,92
72,73
72,78
72,108
73,74
73,79
73,109
74,80
74,110
78,79
78,84
78,114
79,80
79,85
79,115
80,86
80,116
84,85
84,90
84,120
85,86
85,91
85,121
86,92
86,122
90,91
90,126
91,92
91,127
92,128
108,114
109,115
110,116
114,115
114,120
115,116
115,121
116,122
120,121
120,126
121,122
121,127
122,128
