L,p,q,runs,linking,max_iter,osd_order,osd_method,job_number,git hash (metadata)
10,0.013000000000000001,0.013000000000000001,10000,2,50,10,osd_cs,42,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.015,0.015,10000,2,50,10,osd_cs,43,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.017,0.017,10000,2,50,10,osd_cs,44,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.019000000000000003,0.019000000000000003,10000,2,50,10,osd_cs,45,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.021,0.021,10000,2,50,10,osd_cs,46,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.023,0.023,10000,2,50,10,osd_cs,47,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.025,0.025,10000,2,50,10,osd_cs,48,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.027000000000000003,0.027000000000000003,10000,2,50,10,osd_cs,49,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.029,0.029,10000,2,50,10,osd_cs,50,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.031,0.031,10000,2,50,10,osd_cs,51,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.033,0.033,10000,2,50,10,osd_cs,52,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.035,0.035,10000,2,50,10,osd_cs,53,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.001,0.001,10000,2,50,10,osd_cs,54,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.003,0.003,10000,2,50,10,osd_cs,55,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.005,0.005,10000,2,50,10,osd_cs,56,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.007,0.007,10000,2,50,10,osd_cs,57,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.009000000000000001,0.009000000000000001,10000,2,50,10,osd_cs,58,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.011,0.011,10000,2,50,10,osd_cs,59,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.013000000000000001,0.013000000000000001,10000,2,50,10,osd_cs,60,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.015,0.015,10000,2,50,10,osd_cs,61,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.017,0.017,10000,2,50,10,osd_cs,62,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.019000000000000003,0.019000000000000003,10000,2,50,10,osd_cs,63,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.021,0.021,10000,2,50,10,osd_cs,64,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.023,0.023,10000,2,50,10,osd_cs,65,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.025,0.025,10000,2,50,10,osd_cs,66,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.027000000000000003,0.027000000000000003,10000,2,50,10,osd_cs,67,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.029,0.029,10000,2,50,10,osd_cs,68,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.031,0.031,10000,2,50,10,osd_cs,69,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.033,0.033,10000,2,50,10,osd_cs,70,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
12,0.035,0.035,10000,2,50,10,osd_cs,71,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
