L,p,q,runs,linking,max_iter,osd_order,osd_method,job_number,git hash (metadata)
6,0.001,0.001,10000,2,50,10,osd_cs,0,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.003,0.003,10000,2,50,10,osd_cs,1,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.005,0.005,10000,2,50,10,osd_cs,2,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.007,0.007,10000,2,50,10,osd_cs,3,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.009000000000000001,0.009000000000000001,10000,2,50,10,osd_cs,4,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.011,0.011,10000,2,50,10,osd_cs,5,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.013000000000000001,0.013000000000000001,10000,2,50,10,osd_cs,6,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.015,0.015,10000,2,50,10,osd_cs,7,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.017,0.017,10000,2,50,10,osd_cs,8,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.019000000000000003,0.019000000000000003,10000,2,50,10,osd_cs,9,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.021,0.021,10000,2,50,10,osd_cs,10,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.023,0.023,10000,2,50,10,osd_cs,11,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.025,0.025,10000,2,50,10,osd_cs,12,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.027000000000000003,0.027000000000000003,10000,2,50,10,osd_cs,13,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.029,0.029,10000,2,50,10,osd_cs,14,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.031,0.031,10000,2,50,10,osd_cs,15,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.033,0.033,10000,2,50,10,osd_cs,16,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
6,0.035,0.035,10000,2,50,10,osd_cs,17,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.001,0.001,10000,2,50,10,osd_cs,18,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.003,0.003,10000,2,50,10,osd_cs,19,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.005,0.005,10000,2,50,10,osd_cs,20,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.007,0.007,10000,2,50,10,osd_cs,21,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.009000000000000001,0.009000000000000001,10000,2,50,10,osd_cs,22,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.011,0.011,10000,2,50,10,osd_cs,23,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.013000000000000001,0.013000000000000001,10000,2,50,10,osd_cs,24,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.015,0.015,10000,2,50,10,osd_cs,25,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.017,0.017,10000,2,50,10,osd_cs,26,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.019000000000000003,0.019000000000000003,10000,2,50,10,osd_cs,27,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.021,0.021,10000,2,50,10,osd_cs,28,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.023,0.023,10000,2,50,10,osd_cs,29,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.025,0.025,10000,2,50,10,osd_cs,30,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.027000000000000003,0.027000000000000003,10000,2,50,10,osd_cs,31,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.029,0.029,10000,2,50,10,osd_cs,32,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.031,0.031,10000,2,50,10,osd_cs,33,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.033,0.033,10000,2,50,10,osd_cs,34,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
8,0.035,0.035,10000,2,50,10,osd_cs,35,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.001,0.001,10000,2,50,10,osd_cs,36,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.003,0.003,10000,2,50,10,osd_cs,37,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.005,0.005,10000,2,50,10,osd_cs,38,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.007,0.007,10000,2,50,10,osd_cs,39,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.009000000000000001,0.009000000000000001,10000,2,50,10,osd_cs,40,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
10,0.011,0.011,10000,2,50,10,osd_cs,41,b'cedb9917e50bf441fc4602b8dae099ff9819a3d4'
